作品名称,slug,年份／媒介,女女关系位置,女女恋爱位置,女女关系最高明确度,明确女女交往,明确女女欲望,接受未确认方向,女女关系主线,官方字面百合／GL,官方女女恋爱表述,官方来源层级,官方来源位置,男性恋爱线,内容提示,Bangumi 条目状态,Bangumi Rank,Bangumi 百合标签比例
夏色奇迹,natsuiro_kiseki_tv_2012,2012 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,可见宣传,副线,分离焦虑、身体互换与魔法造成的失控／贴近、单向异性恋误会、风暴与遇险。,有精确条目,4897,0.07102564102564103
轮回的拉格朗日 鸭川日常,lagrange_kamogawa_days_ova_2012,2012 OVA,主线,局部,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本、原作,出版渠道、可见宣传,无,科幻与机甲背景、远距离分隔、友情与恋爱式玩笑并置,有精确条目,4903,0.09396751740139211
人渣的本愿,kuzu_no_honkai_tv_2017,2017 TV,重要副线,重要副线,明确欲望,否,是,是,否,所核未见,是,范围内版本,故事／角色页、可见宣传,主导,高中年龄角色的性内容与裸露、师生及前师生边界、非互惠情感被利用、亲密场景中同意与拒绝难以判断、重叠恋爱关系与出轨、言语性骚扰、失恋与情绪痛苦。,有精确条目,4912,0.007154169624815685
BLUE DROP 天使们的戏曲,blue_drop_tv_2007,2007 TV,主线,主线,明确交往,是,是,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,科幻侵略与战争、灾难和死亡背景、威胁与肢体攻击、幸存者创伤、分离与牺牲风险,有精确条目,4937,0.18930041152263374
女子高中生,girls_high_tv_2006,2006 TV,主线,局部,明确交往,是,是,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,副线,内衣、身体检查、泳装、月经及身体／性话题笑料；男女交往、师生搭讪语境与跟随进洗手间的紧张设置；流言、姐妹冲突与外貌评价,有精确条目,4942,0.04718137254901961
转生成为了只有乙女游戏破灭Flag的邪恶大小姐,hamefura_tv_2020,2020 TV,重要副线,重要副线,明确欲望,否,是,是,否,所核未见,是,范围内版本,故事／角色页、可见宣传,并行,阶级霸凌、绑架与非法拘禁、虚假指控及流放或处刑威胁、魔法伤害、占有与嫉妒被喜剧化、收养义姐弟恋爱候选,有精确条目,4956,0.03668036557688769
强袭魔女 剧场版 501部队起飞！,strike_witches_501_takeoff_movie_2019,2019 剧场动画,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本、原作,出版渠道、故事／角色页,无,架空战争、战斗危险、夸张伤势、裸体、内衣式服装与身体笑料,有精确条目,4958,0.10909090909090909
你遭难了吗？,sounan_desu_ka_tv_2019,2019 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,可见宣传,无,求生险境、脱水与落水救援、捕猎和食用动物／昆虫、救急口腔接触与侵入性补水笑料、体液和卫生话题、学生角色的身体与衣物相关笑料,有精确条目,4965,0.0941808596918086
伯纳德小姐说。,bernard_jou_iwaku_tv_2016,2016 TV,重要副线,缺席,非恋爱,否,否,否,否,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,副线,高密度文学梗、以文学为话题的死亡与暴力、肢体闹剧及尖锐吐槽、局部单向异性好感。,有精确条目,4986,0.04477611940298507
强袭魔女 501部队起飞！,strike_witches_501_takeoff_tv_2019,2019 TV,主线,重要副线,明确欲望,否,是,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,架空战争、军事训练、身体服务性喜剧、裸体与内衣式服装、洗浴和身体接触笑料、前后辈压力。,有精确条目,5013,0.07876049063912201
群花绽放，彷如修罗,hana_wa_saku_shura_no_gotoku_tv_2025,2025 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,副线,家庭控制与短暂限制行动、亲人离散带来的情绪困扰、校园竞赛压力、严厉批评与人际冲突。,有精确条目,5018,0.05565843621399177
战姬绝唱SYMPHOGEAR,senki_zesshou_symphogear_tv_2012,2012 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,灾害与战斗、死亡与哀伤、身体伤害、操控与阴谋、心理痛苦、学校遇袭,有精确条目,5081,0.08968444362428492
LoveLive! Sunshine!!,love_live_sunshine_tv_2016,2016 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,可见宣传,无,废校与前途压力、旧友疏离和自责、能力焦虑、喜剧化肢体碰撞及泳装／更衣画面。,有精确条目,5104,0.051182628925940284
少女爱上姐姐 2人的Elder THE ANIMATION,otome_wa_boku_ni_koi_shiteru_2_ova_2012,2012 OVA,重要副线,重要副线,明显但未确认,否,否,是,否,是,是,范围内版本,可见宣传,主导,未记录,有精确条目,5118,0.053896576839038604
长骑美眉,long_riders_tv_2016,2016 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,HTML 元数据、故事／角色页,无,长距离骑行的疲劳、饥饿与天气暴露；自行车活动的道路安全风险,有精确条目,5122,0.0855222968845449
真・恋姬无双～少女大乱～,shin_koihime_musou_otome_ran_tv_2010,2010 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,访谈／评论、故事／角色页、可见宣传,未知,历史幻想与战斗、性化服装和身体笑料、强迫服药与囚禁、性化威胁语句、妖术变形、追杀和群体暴力。,有精确条目,5126,0.1271276595744681
地下城里的人们,dungeon_no_naka_no_hito_tv_2024,2024 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,地下城奇幻战斗、死亡与复活设定、亲人失踪与早年丧失、犯罪团伙的同伴杀害、工作权力差与雇佣关系。,有精确条目,5127,0.04926108374384237
斯特拉的魔法,stella_no_mahou_tv_2016,2016 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,创作截止压力、人物自我怀疑、恋爱／性别转换／攻受配对玩笑、活动前紧张与轻度校园喜剧,有精确条目,5137,0.10409385921118322
LoveLive! Sunshine!! 第二季,love_live_sunshine_season_2_tv_2017,2017 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,可见宣传,无,毕业、学校关闭与团体分离压力；成员冲突、竞争与修复；舞台演出和竞赛压力；对未来道路的焦虑。,有精确条目,5162,0.04698614751029577
贫穷姐妹物语,binbou_shimai_monogatari_tv_2006,2006 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,贫困与儿童承担劳动、父母缺席与丧亲、疾病及住院焦虑。,有精确条目,5170,0.05558337506259389
剧场版 Fate/kaleid liner 魔法少女☆伊莉雅 Licht 无名的少女,fate_kaleid_liner_prisma_illya_licht_movie_2021,2021 剧场动画,重要副线,缺席,非恋爱,否,否,否,否,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,副线,魔法战斗、战争创伤、囚禁、牺牲、死亡与人物工具化。,有精确条目,5183,0.05281173594132029
赛马娘四格,umayon_tv_2020,2020 TV 短篇,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,可见宣传,无,竞技与校园喜剧、轻度摔倒和追逐笑料、拟人化赛马设定、试胆与悬疑剧场、角色较多且单集关系短暂。,有精确条目,5193,0.05120481927710843
魔法纪录 魔法少女小圆外传,magia_record_tv_2020,2020 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页,无,魔法战斗、伤害与死亡风险、疾病和失散、记忆操控、组织招募、家庭忽视与情绪困境,有精确条目,5244,0.06233112829590981
4个人各自有着自己的秘密,yonin_wa_sorezore_uso_wo_tsuku_tv_2022,2022 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,是,范围内版本,出版渠道、故事／角色页、可见宣传,无,性别呈现与身分隐瞒、记忆处理、夸张科幻威胁、未成年角色危险处境、带性／青春期暗示的喜剧。,有精确条目,5245,0.047505938242280284
灼热乒乓妹,shakunetsu_no_takkyuu_musume_tv_2016,2016 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,竞技压力与败北、运动伤痛、身体和内衣笑料、胸部相关笑话,有精确条目,5296,0.12202236266407389
轮回的拉格朗日 第二季,lagrange_season_2_tv_2012,2012 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页,副线,机甲战斗、宇宙战争、政治冲突、城市与地球级灾害、离别、失忆、背叛、危险实验和关系误解,有精确条目,5298,0.1076555023923445
裤袜视界,miru_tights_web_2019,2019 WEB,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,无,裤袜／足部和身体部位服务性表现、带性意味的双关、身体接触笑料、男学生与教师的性化幻想喜剧。,有精确条目,5299,0.03136531365313653
Love Live! Superstar!!,love_live_superstar_season_1_tv_2021,2021 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,—,—,无,舞台恐惧与惊恐反应、童年霸凌、学校停办与财务压力、丧亲、家庭对学业和返乡的压力、网络评价与竞赛挫败、过度训练和中暑风险。,有精确条目,5328,0.05895709999189036
蓝色星夜,parade_parade_ova_1996,1996 OVA,主线,主线,明确交往,是,是,是,是,所核未见,所核未见,原作,出版渠道,无,成人向露骨性描写、双性体身体设定、秘密勒索、无视拒绝的性接触、把人作为收藏品或赌注、演艺行业权力胁迫与多人性暴力、经理／艺人与支配／服从关系中的权力不对等。,有精确条目,5329,0.10323886639676114
刀剑神域外传 Gun Gale Online,sword_art_online_alternative_gun_gale_online_tv_2018,2018 TV,主线,局部,明确欲望,否,是,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,副线,虚拟枪战与重复模拟死亡、现实自伤／自杀威胁、跟踪和束缚、亲密关系中的威胁与暴力、性化玩笑与亲密边界的模糊描写,有精确条目,5330,0.013256738842244807
顺其自然的日子,dounika_naru_hibi_movie_2020,2020 剧场动画,重要副线,重要副线,明确交往,是,是,是,否,所核未见,是,范围内版本,故事／角色页、可见宣传,并行,四段恋爱群像、第一段触摸乳房的提及与拒绝性语气、男校师生关系语境、同居表姐与少年、青春期身体变化。,有精确条目,5346,0.07196495619524405
第三飞行少女队,third_flight_girls_ova_2015,2015 OVA,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,出版渠道、可见宣传,无,空战、战斗、军事武器、人员伤亡与死亡／离别情绪；失忆、救援与同室安排。未作画面复核。,有精确条目,5375,0.04420731707317073
时光碎片,fragtime_theatrical_ova_2019,2019 剧场 OVA,主线,主线,明确交往,是,是,是,是,所核未见,是,范围内版本,故事／角色页、可见宣传,副线,非自愿窥视与掀裙、以泄露秘密相要挟、未经预先协商的接吻与脱衣、公开身体暴露、同学的性化议论和流言、前任出轨、社交孤立、自我否定与激烈争吵。,有精确条目,5410,0.18933333333333333
漫研部～妄想突变～,aimai_mi_mousou_catastrophe_tv_2014,2014 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,出版渠道、可见宣传,无,夸张暴力与死亡、威胁、粗俗及性暗示笑料、声优贞洁传闻与“处女厨”话题。,有精确条目,5427,0.04677268475210477
森田同学很沉默,morita_san_wa_mukuchi_tv_2011,2011 TV,主线,局部,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,副线,男同学对女学生的性化妄想、校服与身体笑料、泳池／浴衣笑料、父母婚姻争吵及成人娱乐场所提及。,有精确条目,5446,0.0630891950688905
Princess Principal Crown Handler 第4章,princess_principal_crown_handler_ch4_movie_2025,2025 剧场动画,主线,未知,未知,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页,未知,拘捕、监视、双重间谍、身份伪装与政治压力；未作影片画面复核。,有精确条目,5447,0.09460834181078331
Fate/kaleid liner 魔法少女☆伊莉雅 Prisma☆Phantasm,fate_kaleid_liner_prisma_phantasm_ova_2019,2019 OVA,重要副线,缺席,非恋爱,否,否,否,否,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,闹剧暴力、受伤与危险竞赛、未成年角色性化笑点、性别转换戏仿、露骨性用语和身体双关。,有精确条目,5449,0.05509771603484813
本田小狼与我,super_cub_tv_2021,2021 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,HTML 元数据、故事／角色页,无,摩托车道路风险、冰冷溪流落水与严寒暴露、未成年主角的无父母生活和经济压力,有精确条目,5477,0.025384101536406144
SHOW BY ROCK!! 第二季,show_by_rock_season_2_tv_2016,2016 TV,主线,局部,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页,未知,奇幻危机、乐队竞演、临时分离与返乡压力、公开演出压力、水上活动与身体展示、音乐都市遭袭。,有精确条目,5485,0.06393054459352802
黑岩射手,black_rock_shooter_ova_2010,2010 OVA,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,无,心理创伤、社会孤立、友情破裂与失踪、平行世界战斗、枪炮刀刃伤害、死亡／自毁或自伤意象。,有精确条目,5488,0.0750816104461371
花粉少女注意报,kafun_shoujo_ova_2008,2008 OVA,重要副线,重要副线,明确欲望,否,是,是,否,所核未见,所核未见,范围内版本,出版渠道,并行,成人向色情内容、露骨性描写、群体性行为、女性与男性欲望并置、花粉袭击设定及可能的同意不清；未作画面复核。,有精确条目,5503,0.06088173547935619
