作品名称,年份,媒介,纳入范围,女女关系位置,百合归档结论,女女恋爱位置,女女关系最高明确度,已确认女女关系数,关系叙事位置分布,关系恋爱明确度分布,关系相互性分布,已确认女女关系画像,官方字面百合／GL,官方女女恋爱表述,官方来源层级,官方来源位置,身份依据,男性恋爱线,结论置信度,明确女女交往,主线明确女女交往,主线明确女女欲望,明确女女欲望,接受未确认方向,女女关系主线,女女关系主线且无男性恋爱线,主线非恋爱且无男性恋爱线,四条以上已确认女女关系,至少一条双向关系,官方字面百合／GL（快捷查询）,官方女女恋爱表述（快捷查询）,内容提示标识,Bangumi 标签,Bangumi 地区标签,Bangumi 改编来源,Bangumi Rank,Bangumi 百合标签比例,分类日期,报告地址
刀剑神域外传 Gun Gale Online,2018,TV 动画,2018 年 TV 动画正篇第 1 至 12 话,主线,文类内百合,局部,明确欲望,3,主线 1、重要副线 1、局部 1,明确欲望 1、非恋爱 2,双向 2、单向 1,虚拟游戏中的莲与 Pitohui（主线／非恋爱／双向）；现实中的神崎艾尔莎→小比类卷香莲（局部／明确欲望／单向）；小比类卷香莲与篠原美优／虚拟层的莲与 Fuka 次郎（重要副线／非恋爱／双向）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,只有明确关系事实,副线,中,否,否,否,是,是,是,否,否,否,是,否,否,virtual_gun_combat_and_repeated_simulated_deaths；threats_of_real_world_self_harm_and_suicide_ideation；stalking_restraint_coercion_and_intimate_partner_violence_discussed_in_episode_12；sexualised_teasing_and_ambiguous_intimate_boundaries；emotional_manipulation_and_extreme_competitive_violence,战斗、科幻,日本,小说改,5338,0.013220518244315178,2026-08-01,https://l-m-sherlock.github.io/yuri-classification-archive/works/sword_art_online_alternative_gun_gale_online_tv_2018/
顺其自然的日子,2020,剧场动画,2020 年 10 月 23 日上映的剧场动画《どうにかなる日々》正片（约 54 分钟；Bangumi 条目 294991）；本片官网 Introduction、Character 与授权发行页面中明确对应本版的文字资料,重要副线,文类外百合阅读,重要副线,明确交往,3,重要副线 1、局部 2,明确交往 2、明确欲望 1,双向 3,百合与えっちゃん的过去恋人关系（局部／明确交往／双向）；百合与あやさん的过去恋人关系（局部／明确交往／双向）；えっちゃん与あやさん在婚礼相遇后的关系（重要副线／明确欲望／双向）,所核未见,是,当前版本,剧情／角色页、可见作品宣传,只有明确关系事实,并列,高,是,否,否,是,是,否,否,否,否,是,否,是,四段式恋爱群像，包含女女、男男与异性恋关系线；第一段日文对白先有“不会做奇怪的事”的邀请，随后提及触摸乳房并出现拒绝性语气；未作画面复核，不能据此完整还原动作、说话人或同意过程；男子校教师与学生的关系语境；小学生男孩与同居表姐、中学生与青春期青梅竹马的故事材料，以及性与身体变化话题；女女关系只占四段之一；不适合当作单一女女情侣主线电影推荐,恋爱,日本,漫画改,5359,0.07158418923124805,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/dounika_naru_hibi_movie_2020/
那个夏天,2021,WEB 动画,2021 年 WEB／ONA 动画《그 여름》正篇第 1–7 集，2021 年 9 月 4 日至 10 月 16 日的完整发行范围；Bangumi 386772、MyAnimeList 49982、Anime-Planet 精确条目与 AniList 139751 所对应的同一七集版本；与该七集版本对应的简体中文字幕所能定位的对白、叙述与关系变化,主线,文类内百合,主线,明确交往,3,主线 1、重要副线 1、局部 1,明确交往 3,双向 2、未知 1,金伊璟—李秀怡（主线／明确交往／双向）；金伊璟—恩智（重要副线／明确交往／双向）；恩智—露比（局部／明确交往／未知）,所核未见,是,当前版本,访谈／评论,只有明确关系事实,无,中,是,是,是,是,是,是,是,否,否,是,否,是,同性恋身份暴露、校园排斥与羞辱；情感背离、三角关系、隐瞒与分手；成人生活中的阶级、经济和劳动压力；亲密关系冲突、离开共同生活空间与持续悲伤；字幕涉及拥抱与亲密语境，但本档案未作同步画面复核,韩国,,小说改,5371,0.18340611353711792,2026-08-16,https://l-m-sherlock.github.io/yuri-classification-archive/works/geu_yeoreum_web_2021/
没有辣妹会对阿宅温柔!?,2026,TV 动画,2026 年 4 月 8 日至 6 月 24 日播出的 TV 动画正篇第 1–12 话,重要副线,非百合,缺席,非恋爱,2,重要副线 1、局部 1,非恋爱 2,双向 2,天音慶与伊地知琴子的友情、共同兴趣与同伴关系（重要副线／非恋爱／双向）；天音慶与雨宮紗優的姐妹式照料关系（局部／非恋爱／双向）,所核未见,是,当前版本,剧情／角色页、可见作品宣传、访谈／评论,范围内无依据,主导,高,否,否,否,否,否,否,否,否,否,是,否,是,异性恋爱三角；角色误会与嫉妒；学园恋爱喜剧,恋爱、校园,日本,漫画改,5383,0.0,2026-08-16,https://l-m-sherlock.github.io/yuri-classification-archive/works/otaku_ni_yasashii_gal_wa_inai_tv_2026/
第三飞行少女队,2015,OVA,2015 年 7 月 29 日发行、Bangumi subject 126606 所列的 1 集 OVA《FALLING ANGEL》；本 OVA 的公开版本资料、故事简介、角色／队伍关系和正片范围内可核对的官方表述；本条目作为一集完整 OVA 的版本与公开分类记录,主线,文类内百合,重要副线,潜在恋爱,3,主线 1、重要副线 1、局部 1,潜在恋爱 1、非恋爱 2,双向 2、相互性未确认 1,第三飞行少女队的女性飞行员共同体（主线／非恋爱／双向）；阿莉亚—凯瑟琳的飞行搭档读法（重要副线／潜在恋爱／相互性未确认）；诺亚—塔莉安娜（局部／非恋爱／双向）,所核未见,所核未见,当前版本,出版载体、可见作品宣传,只有关系推断,无,中,否,否,否,否,是,是,是,否,否,是,否,否,空战、战斗、军用飞机和武器描写；战争背景、人员伤亡及可能的死亡／离别情绪；失忆、救援和以女性飞行员承担作战任务的紧张情节；已逐句审读公开简中字幕；未作视频／画面复核，不能从镜头、身体接触或声线补足字幕未写出的关系意义,战斗,,原创,5402,0.044326241134751775,2026-08-08,https://l-m-sherlock.github.io/yuri-classification-archive/works/third_flight_girls_ova_2015/
时光碎片,2019,剧场 OVA,2019 年 11 月 22 日在日本影院上映的单部剧场 OVA，片长约 60 分钟,主线,文类内百合,主线,明确交往,2,主线 1、重要副线 1,明确交往 1、非恋爱 1,双向 2,森谷美铃—村上遥（主线／明确交往／双向）；森谷美铃—小林（重要副线／非恋爱／双向）,所核未见,是,当前版本,剧情／角色页、可见作品宣传,只有明确关系事实,副线,高,是,是,是,是,是,是,否,否,否,是,否,是,non-consensual skirt lifting and underwear voyeurism；pressure through threatened disclosure of a secret；kissing and undressing without prior explicit boundary negotiation；public bodily exposure；sexualized gossip and harassment by classmates；a former boyfriend's infidelity；social isolation and self-denial；an intense argument and unilateral public disclosure,校园,日本,漫画改,5411,0.18876404494382024,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/fragtime_theatrical_ova_2019/
漫研部～妄想突变～,2014,TV 动画,2014 年 TV 第二季《あいまいみー～妄想カタストロフ～》正篇第 1–12 话；同一 Bangumi 条目的第 13 个目录单元 SP13《処女厨》；它是未放送的 BD/DVD 映像特典，与 TV 正篇分层记录；可审计的旧官网存档、授权播出页、Bangumi API、零售记录和编辑型数据库中明确属于 TV 正篇或第 13 个目录单元边界的资料,主线,文类内百合,缺席,非恋爱,2,主线 1、局部 1,非恋爱 2,双向 2,爱、麻衣、咪与ぽのか前辈的女高中漫研部群像（主线／非恋爱／双向）；麻衣与咪在第 6 话的冲突／对决单元（局部／非恋爱／双向）,所核未见,所核未见,当前版本,出版载体、可见作品宣传,范围内无依据,无,中,否,否,否,否,否,是,是,是,否,是,否,否,每话约三分钟的高速荒诞短篇喜剧，因果、梦境与现实边界经常被笑料打断；夸张暴力、死亡与威胁笑料，包括杀人、火山熔岩、导弹、葬礼和伤病场景；声优贞洁传闻与“处女厨”笑料，另有粗俗、性暗示、骚扰式台词和网络社群戏仿；#0、PV、NCOP、音声评论和其他映像特典不在本报告范围,,日本,漫画改,5436,0.04664179104477612,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/aimai_mi_mousou_catastrophe_tv_2014/
Princess Principal Crown Handler 第4章,2025,剧场动画,2025 年 5 月 23 日上映的《プリンセス・プリンシパル Crown Handler 第4章》剧场版正片；本片官方第四章故事页、公开数据库条目、发行资料与精确字幕条目的版本和范围信息；官方第四章故事页直接说明的安洁、桃乐希、贝阿特丽丝与千世共同承担的拘捕、双重间谍与工厂潜入任务,主线,文类内百合,重要副线,潜在恋爱,5,主线 1、重要副线 2、局部 2,潜在恋爱 1、非恋爱 4,双向 4、相互性未确认 1,第四章中共同执行任务的白鳩小队女性行动共同体（主线／非恋爱／双向）；安洁—公主（重要副线／潜在恋爱／相互性未确认）；公主—玛丽（重要副线／非恋爱／双向）；公主—女王（局部／非恋爱／双向）；公主—贝阿特丽丝（局部／非恋爱／双向）,所核未见,所核未见,当前版本,剧情／角色页,只有关系推断,副线,中,否,否,否,否,是,是,否,否,是,是,否,否,拘捕、监视、双重间谍、身份伪装与政治压力；王室继承与共和国经济危机相关的任务风险；工厂中的袭击、威胁、持械暴力与身体伤害,,日本,原创,5447,0.09412955465587045,2026-08-08,https://l-m-sherlock.github.io/yuri-classification-archive/works/princess_principal_crown_handler_ch4_movie_2025/
森田同学很沉默,2011,TV 动画,2011 年电视短篇动画播出的正篇第 1–13 话；现行授权发行作品页及上述 13 话的公开分话梗概，仅用于确定本版本所述设定、分话边界与列明的行动,主线,文类内百合,局部,潜在恋爱,2,主线 1、局部 1,潜在恋爱 1、非恋爱 1,双向 1、相互性未确认 1,森田真由、村越美树、三浦千寻与松坂花的同学与朋友四人组（主线／非恋爱／双向）；森田真由与山本律树的局部戏剧性反应（并含眼镜女孩对真由的旁观）（局部／潜在恋爱／相互性未确认）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,只有关系推断,副线,中,否,否,否,否,是,是,否,否,否,是,否,否,"male classmates' sexualized fantasies about a teenage girl；schoolgirl body, pool and yukata-adjustment comedy；an adult-marriage quarrel and reference to a cabaret club；misunderstandings, discomfort humor and jokes about silence or staring",,日本,漫画改,5457,0.06304347826086956,2026-08-07,https://l-m-sherlock.github.io/yuri-classification-archive/works/morita_san_wa_mukuchi_tv_2011/
Fate/kaleid liner 魔法少女☆伊莉雅 Prisma☆Phantasm,2019,OVA,2019 年 6 月 14 日上映、同年 11 月 27 日发行的单集 OVA《プリズマ☆ファンタズム》（Bangumi 条目 227263）；该 OVA 约 63 分钟范围内的全员短段喜剧、女性关系和混合角色群像,重要副线,文类外百合阅读,缺席,非恋爱,4,重要副线 3、局部 1,非恋爱 4,双向 4,魔法红宝石—魔法蓝宝石（重要副线／非恋爱／双向）；伊莉雅—美游—克洛伊（重要副线／非恋爱／双向）；远坂凛—露维亚瑟琳塔·艾德费尔特（重要副线／非恋爱／双向）；森山那奈龟、嶽間沢龍子、桂美美、栗原雀花等同学共同体（局部／非恋爱／双向）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,范围内无依据,无,高,否,否,否,否,否,否,否,否,是,是,否,否,闹剧式喜剧、跨平行世界与作品自嘲；未成年角色的性化笑点、变装或性别转换笑料；魔法战斗、夸张身体表演与竞赛式危险笑点；露骨性用语、性化笑点与身体部位双关；女性与男性角色混合登场；范围内没有女女恋爱欲望或性取向身份明示,喜剧,日本,原创,5458,0.05503512880562061,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/fate_kaleid_liner_prisma_phantasm_ova_2019/
本田小狼与我,2021,TV 动画,2021 年 TV 动画《スーパーカブ》正篇第 1–12 话,主线,文类内百合,缺席,非恋爱,3,主线 1、重要副线 2,非恋爱 3,双向 3,小熊与礼子的同校卡布伙伴关系（主线／非恋爱／双向）；小熊、礼子与恵庭椎的冬季同行共同体（重要副线／非恋爱／双向）；小熊与恵庭椎的救援与后续同行（重要副线／非恋爱／双向）,所核未见,所核未见,当前版本,HTML 元数据、剧情／角色页,范围内无依据,无,高,否,否,否,否,否,是,是,是,否,是,否,否,motorcycle_riding_and_road_safety_risk；winter_weather_exposure_and_falling_into_an_icy_stream；teenager_living_without_parents_and_financial_constraint,日常,日本,小说改,5477,0.02547685740963052,2026-08-01,https://l-m-sherlock.github.io/yuri-classification-archive/works/super_cub_tv_2021/
黑岩射手,2010,OVA,2010-07-24 发行的《ブラック★ロックシューター》OVA 正片，Bangumi 条目 2453 所列 1 集版本；OVA 中黑衣麻陶与小鸟游优美的学校友情、疏远与失踪线，以及与之并置的 Black★Rock Shooter—Dead Master 战斗世界；Aniplex 官方作品资料、B★RS 官方门户的版本历史，以及 MAL、AniList、Anime-Planet 的精确条目或搜索状态,主线,文类内百合,缺席,非恋爱,2,主线 1、重要副线 1,非恋爱 2,双向 1、不适用 1,黑衣麻陶—小鸟游优美的同学友情（主线／非恋爱／双向）；Black★Rock Shooter—Dead Master 的平行世界战斗关系（重要副线／非恋爱／不适用）,所核未见,所核未见,当前版本,出版载体、剧情／角色页、可见作品宣传,范围内无依据,无,中,否,否,否,否,否,是,是,是,否,是,否,否,心理创伤、社会孤立、友情破裂与失踪；平行世界中的枪炮、刀刃、爆炸、重伤和死亡威胁；死亡、自毁或自伤意象；字幕可定位台词，未复核视频，不对具体动作作逐镜断言；未成年角色面对强烈情绪、嫉妒、依赖和关系断裂；黑暗幻想、战斗人格化和现实／虚构边界混合造成的心理压迫感,战斗,,原创,5478,0.07518978190143391,2026-08-02,https://l-m-sherlock.github.io/yuri-classification-archive/works/black_rock_shooter_ova_2010/
SHOW BY ROCK!! 第二季,2016,TV 动画,2016 年 10 月至 12 月播出的《SHOW BY ROCK!!#》电视正篇第 1–12 话；本季正篇中的 Plasmagica、Criticrista、BUD VIRGIN LOGIC 及其他乐队的演出、竞演和共同活动，只在能够说明女女关系与叙事位置时参考；2016 年第二季官方简介、逐话故事页，以及与该季精确条目对应的数据库页面；AnimeTosho 精确系列附件包中覆盖 S02E01–S02E12 的英语 track5.eng.ass 文本；仅将其作为英文字幕文本，不将其等同于日文原文或画面复核,主线,文类内百合,局部,潜在恋爱,3,主线 1、重要副线 1、局部 1,潜在恋爱 1、非恋爱 2,双向 2、相互性未确认 1,Plasmagica 四名成员的乐队共同体与重聚（主线／非恋爱／双向）；Plasmagica、Criticrista 与其他女乐队的合作和竞演（重要副线／非恋爱／双向）；レトリー—シアン的局部配对阅读（局部／潜在恋爱／相互性未确认）,所核未见,所核未见,当前版本,剧情／角色页,只有关系推断,无,中,否,否,否,否,是,是,是,否,否,是,否,否,fantasy_monster_attacks_and_peril；threat_to_the_music_city_and_emergency_battles；performance_and_competition_pressure；false_accusation_and_band_conflict；public_embarrassment_and_swimsuit_event；temporary_separation_and_return_home_pressure,音乐,日本,游戏改,5486,0.0638801261829653,2026-08-10,https://l-m-sherlock.github.io/yuri-classification-archive/works/show_by_rock_season_2_tv_2016/
